,genre,artist_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,liveness_binary,danceability_binary,Major,Minor,A,A#,B,C,C#,D,D#,E,F,F#,G,G#
8262,1,6337,86843,46,0.45,0.381,67520,0.5920000000000001,0.0,0.534,-10.879,0.289,84.97399999999998,1,0.6729999999999999,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
8542,1,8081,24624,49,0.868,0.561,224698,0.282,0.529,0.11,-13.241,0.0286,112.011,1,0.158,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
9151,9,5366,59226,75,0.259,0.369,181140,0.609,4.1e-05,0.133,-4.477,0.184,80.362,1,0.381,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
9516,9,11336,12073,72,0.00441,0.469,187160,0.645,0.0004730000000000001,0.0855,-4.4430000000000005,0.0515,96.094,1,0.305,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
10387,9,9244,23301,63,0.0016699999999999998,0.409,186672,0.847,0.00598,0.18600000000000005,-3.47,0.0499,124.301,1,0.034,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
10699,9,5503,4642,66,0.0583,0.785,213678,0.5920000000000001,2.84e-05,0.131,-5.1389999999999985,0.0363,107.992,1,0.884,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
12288,9,9244,108296,61,0.00119,0.324,207121,0.979,0.835,0.34700000000000003,-4.17,0.0987,103.532,1,0.232,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
12332,9,6805,94731,50,0.5660000000000001,0.8079999999999999,158480,0.451,0.0,0.1,-7.396,0.0706,96.047,1,0.528,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
12377,9,10733,47375,51,0.00428,0.485,238745,0.902,0.856,0.281,-7.877999999999999,0.0317,172.572,1,0.426,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
12538,9,950,12732,48,0.0223,0.685,147853,0.978,0.0,0.136,-5.529,0.324,110.951,1,0.403,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
12658,9,9244,4741,59,0.0235,0.451,176571,0.966,0.146,0.787,-2.061,0.133,109.472,1,0.479,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
12678,9,1078,59623,55,0.0424,0.5710000000000001,228693,0.466,0.00262,0.125,-9.153,0.173,111.58,1,0.512,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
13207,9,6803,106802,55,0.212,0.397,195657,0.64,0.0,0.109,-5.824,0.0432,81.374,1,0.396,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
13448,9,1905,49691,48,0.384,0.407,197560,0.647,0.0,0.0862,-6.0310000000000015,0.125,88.061,1,0.398,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
13975,9,4430,55738,56,0.189,0.564,219696,0.528,1.65e-06,0.22,-7.645,0.0569,149.762,1,0.328,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
14381,9,5227,45556,46,0.224,0.483,208973,0.465,0.0,0.0568,-7.752999999999999,0.0583,75.809,1,0.4320000000000001,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
16265,10,7265,4140,44,0.326,0.461,223640,0.247,0.21,0.109,-13.594,0.0394,99.234,1,0.16,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
16394,10,22,80969,40,0.0008289999999999999,0.5760000000000001,168000,0.968,0.0149,0.317,-3.0860000000000003,0.14,112.36,1,0.0687,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
16815,10,1273,103837,40,0.00177,0.418,235493,0.6859999999999999,0.0176,0.863,-8.658,0.035,75.241,1,0.547,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
16822,10,5185,71760,29,0.253,0.5379999999999999,65533,0.833,0.459,0.219,-9.535,0.062,99.962,1,0.0356,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
16943,10,9148,68921,29,0.0256,0.561,150855,0.556,0.0,0.101,-6.966,0.414,127.744,1,0.21,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
17060,10,10173,46487,26,0.00379,0.28800000000000003,46200,0.29100000000000004,0.244,0.797,-15.444,0.0353,163.611,1,0.0795,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
17150,10,10507,58576,46,0.0328,0.569,204933,0.948,0.925,0.0928,-7.536,0.0512,192.043,1,0.8759999999999999,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
17405,10,3368,107587,35,0.208,0.189,84040,0.614,0.535,0.454,-6.895,0.0552,85.82799999999997,1,0.0586,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
17415,10,889,50513,30,0.00555,0.51,173419,0.8220000000000001,0.0005650000000000001,0.11,-4.602,0.0322,154.873,1,0.306,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
17833,1,590,43224,39,0.628,0.452,135510,0.215,7.1e-06,0.0824,-15.896,0.0491,73.57,1,0.103,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
18053,2,7336,77498,39,0.00313,0.416,201907,0.733,0.965,0.109,-6.999,0.0346,190.061,1,0.754,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
18159,2,776,33463,36,0.994,0.223,229143,0.219,0.96,0.081,-19.114,0.0432,79.673,1,0.0387,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
18267,2,6542,3669,29,0.983,0.312,110720,0.0212,0.0237,0.17,-27.131,0.0511,133.012,1,0.163,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
18276,2,5423,53054,31,0.984,0.333,93987,0.0955,0.956,0.0964,-27.434,0.109,119.316,1,0.355,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
18316,2,7336,9815,34,0.133,0.166,127333,0.225,0.0644,0.385,-15.074000000000002,0.0412,109.687,1,0.726,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
18413,2,8875,30637,26,0.988,0.179,144973,0.0805,0.988,0.114,-23.086,0.0386,66.987,1,0.0543,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
18495,2,5423,7258,29,0.888,0.399,72293,0.00513,0.000449,0.079,-37.286,0.0785,148.922,1,0.447,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
18659,2,5423,105552,27,0.979,0.386,89933,0.117,0.506,0.116,-26.767,0.0503,77.126,1,0.105,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
18718,2,8549,46151,25,0.944,0.215,136178,0.0791,0.8690000000000001,0.0944,-29.802,0.0407,76.205,1,0.051,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
18736,2,5423,72763,27,0.957,0.4270000000000001,58413,0.00154,0.00374,0.113,-29.032,0.0706,113.61,1,0.152,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
18798,2,7336,106041,28,0.105,0.507,178533,0.421,0.856,0.117,-19.393,0.0535,122.254,1,0.472,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
18891,2,8549,71251,24,0.14300000000000002,0.145,158172,0.268,0.878,0.051,-20.117,0.0586,140.211,1,0.0331,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
18989,2,8549,106164,23,0.742,0.14300000000000002,158345,0.105,0.889,0.106,-25.588,0.063,139.351,1,0.0314,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
18994,2,6260,27586,26,0.816,0.527,31773,0.622,5.17e-06,0.454,-8.773,0.0516,82.641,1,0.7040000000000001,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
19014,2,6256,52330,28,0.0399,0.472,184893,0.952,6.81e-06,0.039,-3.583,0.136,116.042,1,0.69,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
19116,2,776,41757,28,0.977,0.196,123488,0.0724,0.339,0.365,-20.595,0.0431,73.584,1,0.0518,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
19240,2,7336,108978,27,0.852,0.276,98040,0.263,0.904,0.237,-16.669,0.0351,79.02,1,0.187,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
19301,2,8549,88327,21,0.8759999999999999,0.153,73242,0.037000000000000005,0.947,0.0938,-28.626,0.0328,66.90100000000001,1,0.101,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
19322,2,7336,15199,25,0.983,0.17600000000000002,43000,0.449,0.0745,0.107,-13.111,0.0486,83.49700000000001,1,0.217,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
19331,2,7336,87933,25,0.995,0.312,42000,0.0755,3.25e-06,0.0523,-16.851,0.0518,81.631,1,0.16899999999999998,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
19341,2,4855,107565,28,0.939,0.522,71667,0.434,0.706,0.161,-7.526,0.0289,112.204,1,0.471,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
19352,2,7336,99725,25,0.978,0.173,40800,0.209,0.851,0.109,-14.522,0.0649,71.288,1,0.052000000000000005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
19404,2,7336,18033,26,0.464,0.47,167560,0.7859999999999999,0.964,0.106,-10.507,0.0305,90.005,1,0.488,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
19406,2,7336,34576,24,0.993,0.317,42893,0.177,0.0475,0.121,-13.152,0.0388,77.291,1,0.403,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
19728,2,11275,43335,21,0.95,0.22,72120,0.121,0.961,0.108,-18.399,0.0403,84.087,1,0.0615,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
19751,2,1636,87565,22,0.0474,0.5660000000000001,217893,0.701,0.8029999999999999,0.0871,-11.194,0.0381,128.107,1,0.369,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
19869,2,11308,933,21,0.434,0.19,132600,0.487,0.823,0.11,-12.733,0.0431,91.553,1,0.18600000000000005,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
19882,2,8484,54668,20,0.000918,0.16699999999999998,210920,0.461,0.7929999999999999,0.113,-10.65,0.0331,87.03,1,0.103,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
19931,2,11233,22727,21,3.05e-05,0.466,127067,0.955,0.93,0.183,-5.086,0.0633,155.023,1,0.399,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
20164,2,1468,55740,15,0.889,0.17800000000000002,78200,0.278,0.15,0.278,-7.985,0.0296,92.072,1,0.295,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
20199,2,7336,74556,18,7.26e-05,0.562,208197,0.745,0.958,0.21,-6.989,0.0309,152.039,1,0.597,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
20259,2,1636,53005,19,0.0069,0.441,124520,0.913,0.237,0.329,-7.751,0.132,163.053,1,0.929,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
